node	country_code	host_type	location
KY241696	SGP	human	South-eastern Asia
KY241764	SGP	human	South-eastern Asia
n421	SGP	human	South-eastern Asia
n454	SGP	human	South-eastern Asia
MF801393	MEX	human	Central America
MF801398	MEX	human	Central America
MF098771	RUS	human	Europe
n138	MEX	mosquito	Central America
n141	MEX	mosquito	Central America
KY120349	MEX	human	Central America
KY765317	NIC	human	Central America
KY765318	NIC	human	Central America
n226	USA	human	Northern America
KY325471	USA	human	Northern America
KY785453	DOM	human	Caribbean
KY014300	DOM	human	Caribbean
n243	USA	human	Northern America
KY785443	USA	human	Northern America
n271	HTI	human	Caribbean
MF783072	HTI	mosquito	Caribbean
KY241753	SGP	human	South-eastern Asia
n400	SGP	human	South-eastern Asia
n422	SGP	human	South-eastern Asia
KY241732	SGP	human	South-eastern Asia
KY241679	SGP	human	South-eastern Asia
KX827309	SGP	human	South-eastern Asia
KX856011	MEX	mosquito	Central America
KY648934	MEX	mosquito	Central America
KX446950	MEX	mosquito	Central America
KX446951	MEX	mosquito	Central America
n227	USA	human	Northern America
n237	USA	human	Northern America
n244	USA	human	Northern America
n254	USA	human	Northern America
n272	HTI	human	Caribbean
n273	HTI	human	Caribbean
n401	SGP	human	South-eastern Asia
n402	SGP	human	South-eastern Asia
n423	SGP	human	South-eastern Asia
KY241724	SGP	human	South-eastern Asia
n228	USA	human	Northern America
n235	USA	human	Northern America
KY325464	USA	human	Northern America
KY325476	USA	human	Northern America
n245	USA	human	Northern America
KY014326	USA	human	Northern America
n255	USA	human	Northern America
n256	USA	human	Northern America
KY415988	HTI	human	Caribbean
KX673530	GBR	human	Europe
n274	HTI	human	Caribbean
KY415990	HTI	human	Caribbean
KY241765	SGP	human	South-eastern Asia
KY241733	SGP	human	South-eastern Asia
KY241726	SGP	human	South-eastern Asia
KY241720	SGP	human	South-eastern Asia
n424	SGP	human	South-eastern Asia
n434	SGP	human	South-eastern Asia
n229	USA	human	Northern America
n230	USA	human	Northern America
n236	USA	mosquito	Northern America
KY325482	USA	human	Northern America
n246	USA	human	Northern America
n253	USA	human	Northern America
KY325467	USA	human	Northern America
KX832731	USA	human	Northern America
n257	USA	human	Northern America
n265	USA	human	Northern America
KY415986	HTI	human	Caribbean
n275	HTI	human	Caribbean
KY241674	SGP	human	South-eastern Asia
n425	SGP	human	South-eastern Asia
n435	SGP	human	South-eastern Asia
n440	SGP	human	South-eastern Asia
KX922705	USA	human	Northern America
KY014298	USA	human	Northern America
n231	USA	human	Northern America
KY325473	USA	human	Northern America
KY075937	USA	mosquito	Northern America
KY785422	USA	mosquito	Northern America
n247	USA	human	Northern America
n251	USA	human	Northern America
KY785412	USA	human	Northern America
KY075935	USA	human	Northern America
n258	USA	human	Northern America
KY325472	USA	human	Northern America
n266	USA	human	Northern America
KX922704	USA	human	Northern America
KY415987	HTI	human	Caribbean
n276	HTI	human	Caribbean
KY241685	SGP	human	South-eastern Asia
n426	SGP	human	South-eastern Asia
KY241731	SGP	human	South-eastern Asia
n436	SGP	human	South-eastern Asia
n441	SGP	human	South-eastern Asia
KY241728	SGP	human	South-eastern Asia
n232	USA	human	Northern America
KX838906	USA	mosquito	Northern America
n248	USA	human	Northern America
n250	USA	human	Northern America
KX838905	USA	mosquito	Northern America
n252	USA	human	Northern America
n259	USA	human	Northern America
KX842449	USA	human	Northern America
KX922706	USA	human	Northern America
KY325478	USA	human	Northern America
KY415991	HTI	human	Caribbean
KY415989	HTI	human	Caribbean
n427	SGP	human	South-eastern Asia
KY241676	SGP	human	South-eastern Asia
KY241750	SGP	human	South-eastern Asia
n437	SGP	human	South-eastern Asia
n442	SGP	human	South-eastern Asia
KY241747	SGP	human	South-eastern Asia
